a2732	3650.000000	127.000000	2.775388	1.000000	1.227539	1.000000
a0004	3692.000000	127.000000	2.056640	1.000000	1.490235	1.000000
a0817	3711.000000	127.000000	1.913085	1.000000	1.303711	1.000000
a2707	4095.000000	128.000000	1.582734	1.000000	1.749230	1.000000
a1077	3711.000000	127.000000	1.913085	1.000000	1.303711	1.000000
a4658	3650.000000	128.000000	2.060547	1.000000	1.299805	1.000000
a3285	32768.000000	820.000000	2.007214	1.000000	1.196633	1.000000
a2552	3300.000000	128.000000	2.060547	1.000000	1.768556	1.000000
a2391	16000.000000	1024.000000	2.354492	1.000000	1.345703	1.000000
a0934	4095.000000	127.000000	2.080789	1.000000	1.506403	1.000000
a4147	16000.000000	1024.000000	2.666994	1.000000	1.244140	1.000000
a1594	4095.000000	127.000000	1.634842	1.000000	2.012793	1.000000
a4075	3711.000000	127.000000	2.182615	1.000000	1.260741	1.000000
a3401	3700.000000	127.000000	1.913085	1.000000	1.303711	1.000000
a0045	3711.000000	127.000000	1.871093	1.000000	1.298828	1.000000
a2554	3700.000000	127.000000	2.226562	1.000000	1.138672	1.000000
a2983	3711.000000	127.000000	1.861327	1.000000	1.303711	1.000000
a1888	4095.000000	127.000000	2.206692	1.000000	1.909199	1.000000
a4106	4095.000000	128.000000	2.163954	1.000000	1.788371	1.000000
a2121	4095.000000	127.000000	1.744141	1.000000	1.709960	1.000000
a3643	4095.000000	127.000000	1.826601	1.000000	1.767487	1.000000
a3749	14400.000000	1024.000000	2.265627	1.000000	1.363282	1.000000
a3080	3692.000000	127.000000	2.056640	1.000000	1.490235	1.000000
a2710	3692.000000	128.000000	2.064452	1.000000	1.519531	1.000000
a3635	14400.000000	1024.000000	2.348631	1.000000	1.356445	1.000000
a1650	3300.000000	127.000000	1.899415	1.000000	1.429687	1.000000
a0054	13600.000000	1023.000000	2.077149	1.000000	1.468750	1.000000
a3309	3700.000000	127.000000	2.226562	1.000000	1.137695	1.000000
a1535	4095.000000	127.000000	2.066590	1.000000	1.994157	1.000000
a4199	3692.000000	128.000000	1.980469	1.000000	1.575195	1.000000
a3360	16000.000000	1024.000000	2.559567	1.000000	1.350587	1.000000
a4062	4095.000000	127.000000	1.823969	1.000000	1.578652	1.000000
a1717	4095.000000	128.000000	1.503138	1.000000	1.918410	1.000000
a2129	3650.000000	128.000000	2.056640	1.000000	1.490235	1.000000
a1101	4095.000000	127.000000	1.859113	1.000000	1.691627	1.000000
a1410	3726.000000	255.000000	2.295900	1.000000	1.440430	1.000000
a2088	4095.000000	127.000000	1.839409	1.000000	1.688670	1.000000
a2392	3711.000000	127.000000	2.327151	1.000000	1.164063	1.000000
a0501	3692.000000	128.000000	2.068359	1.000000	1.410157	1.000000
a4394	3692.000000	127.000000	2.137693	1.000000	1.540040	1.000000
a4298	3650.000000	127.000000	2.216799	1.000000	1.275390	1.000000
